tc,business,location,count
272192000087609122856,WALMART,,28
007200007038415300634,WALMART,,24
07369073960373839183,WALMART,,16
8343733484498489,SAMS,,14
488054900279825044788,WALMART,,13
23277520741585627325,WALMART,,11
32206179841579656814,WALMART,,10
5678171708151158880,WALMART,,10
76522720223462331268,WALMART,,10
3434498015470169717,WALMART,,9
11631757220692082909,WALMART,,9
927747265501443718414,WALMART,,8
957747163501443718414,WALMART,,8
826906723758009656050,WALMART,,8
876906324705009654050,WALMART,,8
355585174172880529828,WALMART,,8
071391157266994163969,WALMART,,8
977747766521443718414,WALMART,,8
472132113617338270373,WALMART,,8
135473293024772345747,WALMART,,8
